id,value
id_0,27
id_1,63
id_2,21
id_3,28
id_4,10
id_5,35
id_6,39
id_7,15
id_8,45
id_9,34
id_10,37
id_11,59
id_12,35
id_13,40
id_14,30
id_15,11
id_16,54
id_17,21
id_18,18
id_19,19
id_20,15
id_21,25
id_22,37
id_23,8
id_24,57
id_25,45
id_26,27
id_27,9
id_28,31
id_29,35
id_30,18
id_31,12
id_32,17
id_33,6
id_34,18
id_35,40
id_36,21
id_37,28
id_38,7
id_39,60
id_40,47
id_41,17
id_42,50
id_43,18
id_44,45
id_45,50
id_46,62
id_47,41
id_48,52
id_49,42
id_50,30
id_51,25
id_52,41
id_53,26
id_54,40
id_55,40
id_56,26
id_57,21
id_58,39
id_59,32
id_60,13
id_61,25
id_62,30
id_63,55
id_64,48
id_65,27
id_66,41
id_67,55
id_68,29
id_69,37
id_70,65
id_71,52
id_72,43
id_73,12
id_74,12
id_75,35
id_76,62
id_77,3
id_78,44
id_79,39
id_80,7
id_81,21
id_82,9
id_83,34
id_84,10
id_85,6
id_86,16
id_87,12
id_88,12
id_89,25
id_90,31
id_91,12
id_92,12
id_93,8
id_94,36
id_95,17
id_96,16
id_97,9
id_98,11
id_99,4
id_100,13
id_101,20
id_102,12
id_103,6
id_104,13
id_105,38
id_106,27
id_107,9
id_108,16
id_109,17
id_110,15
id_111,17
id_112,14
id_113,28
id_114,23
id_115,16
id_116,10
id_117,44
id_118,29
id_119,1
id_120,3
id_121,13
id_122,16
id_123,16
id_124,7
id_125,27
id_126,22
id_127,13
id_128,21
id_129,18
id_130,5
id_131,38
id_132,15
id_133,26
id_134,24
id_135,20
id_136,11
id_137,19
id_138,77
id_139,63
id_140,27
id_141,18
id_142,26
id_143,8
id_144,13
id_145,10
id_146,21
id_147,8
id_148,14
id_149,18
id_150,51
id_151,20
id_152,26
id_153,16
id_154,15
id_155,28
id_156,21
id_157,34
id_158,3
id_159,18
id_160,42
id_161,19
id_162,54
id_163,21
id_164,36
id_165,24
id_166,21
id_167,2
id_168,67
id_169,19
id_170,18
id_171,68
id_172,22
id_173,3
id_174,24
id_175,1
id_176,7
id_177,17
id_178,22
id_179,22
id_180,43
id_181,27
id_182,29
id_183,13
id_184,10
id_185,41
id_186,37
id_187,34
id_188,16
id_189,23
id_190,14
id_191,13
id_192,34
id_193,78
id_194,32
id_195,13
id_196,62
id_197,16
id_198,20
id_199,23
id_200,127
id_201,25
id_202,60
id_203,4
id_204,60
id_205,35
id_206,18
id_207,15
id_208,65
id_209,13
id_210,30
id_211,72
id_212,21
id_213,114
id_214,40
id_215,78
id_216,92
id_217,69
id_218,28
id_219,20
id_220,31
id_221,53
id_222,28
id_223,41
id_224,43
id_225,7
id_226,8
id_227,70
id_228,27
id_229,3
id_230,38
id_231,15
id_232,22
id_233,9
id_234,12
id_235,23
id_236,13
id_237,1
id_238,23
id_239,2
